Nom,SNR,fe_Voice,audio_Voice,fe_Noise,audio_Noise,fe_Mix,audio_Mix
0015,1.0,8000,"[-0.00182289  0.33140185  0.88847786 ... -1.5257611  -1.6354992
 -1.6982067 ]",8000,"[-1.1834012  -1.2034589  -1.1633437  ...  0.64184475  0.48138356
  0.58167183]",8000,8000
0016,3.0,8000,"[-2.0804894  -1.9355725  -1.7079144  ...  0.01291338  0.01243511
  0.01100029]",8000,[0.24079198 0.24291348 0.5123459  ... 0.46567258 0.29701215 0.4179385 ],8000,8000
0017,-4.0,8000,"[ 0.00181415 -0.00453537 -0.00045354 ... -0.00907073 -0.00272122
 -0.00408183]",8000,"[-1.0265434  -1.0165889  -1.2380735  ... -0.15802547 -0.01244295
  0.16922413]",8000,8000
0018,0.0,8000,"[ 0.6023918   0.2968365  -0.3384491  ... -0.17279133 -0.17239502
 -0.15059794]",8000,"[-1.0674943  -1.2742424  -1.533732   ... -0.98521715 -1.4725516
 -1.379726  ]",8000,8000
0019,-1.0,8000,[0.37085024 0.34670898 0.33027244 ... 0.00873193 0.00256821 0.00102729],8000,[ 0.7463914  1.1148632  1.3794069 ... -1.0676233 -1.1148632 -1.1904471],8000,8000
0020,4.0,8000,"[ 0.00220498 -0.00698243 -0.00587994 ... -1.0054697  -1.2020801
 -1.4990171 ]",8000,"[ 0.18087025  0.03617406  0.28939244 ... -0.5245238  -0.86817724
 -0.9766994 ]",8000,8000
0021,-2.0,8000,"[ 0.04927195  0.00642678 -0.01446025 ...  2.8015387   2.4475305
  1.8991125 ]",8000,[0.2011144  0.03094068 0.         ... 0.23205507 0.46411014 0.6342839 ],8000,8000
0022,2.0,8000,"[-1.2745714  -1.235354   -1.081425   ... -0.47600344  0.7794495
 -0.7814104 ]",8000,"[ 2.4181304   2.7402825   3.3129976  ... -0.27442598 -0.13124721
 -0.08749814]",8000,8000
0023,0.0,8000,[0.9143064  1.052264   1.2362072  ... 0.03516563 0.02975554 0.03246059],8000,"[ 0.0233172   0.09326882 -0.0116586  ... -0.74615055 -0.6295645
 -0.5246371 ]",8000,8000
0024,4.0,8000,[0.00497699 0.00373275 0.00539174 ... 0.58894426 0.32806686 0.11944786],8000,"[-0.11471286 -0.160598   -0.13765542 ... -1.0094731  -1.3077265
 -1.4224395 ]",8000,8000
0025,0.0,8000,"[ 0.00296332 -0.00296332  0.00197555 ... -0.00691441 -0.01531049
 -0.03358429]",8000,[-0.8820277  1.7861061 -1.7052535 ...  0.668871   1.021682   0.7938249],8000,8000
0026,-4.0,8000,"[-4.6761343e-03 -1.0791079e-03 -1.7985132e-03 ...  2.7085605e-01
  8.0429512e-01  2.0190110e+00]",8000,"[-1.0565987  -1.1298283  -0.99383044 ... -1.6110514  -1.4018241
 -1.2239807 ]",8000,8000
0027,-1.0,8000,"[-0.20880568 -0.2479903  -0.19216564 ... -0.00751486 -0.00912518
 -0.00322065]",8000,"[-1.276605   -1.266226   -1.058648   ...  0.34250376  0.39958775
 -0.09341013]",8000,8000
0028,-2.0,8000,"[ 0.0075019   0.01014963  0.00838447 ... -0.00176515 -0.00132386
 -0.00132386]",8000,"[-0.18182611 -0.32699952 -0.5109817  ... -0.58716184 -0.33274895
 -0.48007837]",8000,8000
0029,0.0,8000,[1.3560257  1.3594273  1.2114509  ... 0.17731662 0.16456002 0.13947207],8000,[1.0213447  1.7461698  1.7846074  ... 0.52714556 0.3404482  0.        ],8000,8000
0030,1.0,8000,"[-0.23447922  0.11357587  0.29362243 ... -0.03192686 -0.01570173
 -0.01936547]",8000,"[ 0.5560467   0.59079957  0.62555254 ... -0.5977502  -0.11120935
  0.7089595 ]",8000,8000
0031,-2.0,8000,"[ 0.00057481  0.00574814 -0.00172444 ... -0.01609479 -0.02471699
 -0.00287407]",8000,"[-0.93707174 -0.8832769  -0.7375102  ...  1.9852037   2.1570003
  1.8602608 ]",8000,8000
0032,3.0,8000,"[-0.00319498  0.          0.00091285 ...  0.4276707   0.2131507
  0.06116102]",8000,[2.3977606 2.0921638 1.8453355 ... 1.7513057 1.563246  1.563246 ],8000,8000
0033,4.0,8000,"[ 0.3217001  -0.9302879  -1.5275512  ... -0.12792508  0.01467993
 -0.10192063]",8000,"[ 0.37247398  0.7821954   0.88928163 ... -0.5261195   0.23279624
  0.2653877 ]",8000,8000
0034,-3.0,8000,"[-0.00319498  0.          0.00091285 ...  0.4276707   0.2131507
  0.06116102]",8000,[-0.7661147 -0.7148124 -0.7165224 ... -2.2350712 -2.033282  -1.7613798],8000,8000
0035,-2.0,8000,"[-0.01630819 -0.01449617 -0.02083824 ... -0.10011416 -0.1377136
 -0.19071521]",8000,"[-1.2817193  -1.1133182  -0.86071664 ... -0.7765161  -0.6923155
 -0.4490695 ]",8000,8000
0036,0.0,8000,"[-0.99149835 -1.3033019  -1.5464717  ...  0.01549793  0.01881891
  0.01586693]",8000,"[-0.8095386  -1.3378414  -1.8608872  ...  0.68074834  0.26020882
  0.23392509]",8000,8000
0037,-1.0,8000,"[ 0.58915603  0.16169772 -0.26736155 ...  0.24254654 -0.20172189
 -0.54953206]",8000,"[-0.01630512 -0.30979738 -0.26903453 ...  0.61144215  0.7989511
  1.1413587 ]",8000,8000
0038,4.0,8000,[0.4258169  0.38307077 0.27949372 ... 0.01972897 0.01150856 0.02411318],8000,"[-0.31469944 -0.39808136 -0.54870677 ... -0.03496661 -0.13448694
 -0.15062538]",8000,8000
0039,0.0,8000,"[ 0.01933797 -0.00396676 -0.01537121 ...  0.00644599  0.00842937
  0.00396676]",8000,[ 0.6020477  0.8027302  0.9931214 ... -1.9605142 -2.0479913 -1.8987658],8000,8000
0040,0.0,8000,"[ 0.1317076   0.11325995 -0.00128704 ... -0.5868925  -0.7593565
 -0.96142256]",8000,"[-0.1417393  -0.09744576 -0.22146764 ...  0.66440296  0.46508208
  0.45622334]",8000,8000
0041,2.0,8000,[-0.9277147 -1.6114796 -2.1765783 ...  1.008443   1.0018259  1.0860835],8000,"[-0.2704436  -0.20639116 -0.19927421 ...  0.2704436   0.61917347
  0.8896171 ]",8000,8000
0042,2.0,8000,"[-2.4189382  -1.7339725  -1.9370062  ...  0.86398447  0.9431239
  0.92238396]",8000,"[-0.14609775 -0.36776328 -0.4231797  ...  0.6700345  -0.04030282
 -0.08060565]",8000,8000
0043,-4.0,8000,"[ 0.22674645  0.08820392  0.20625463 ... -0.2690665   0.08909488
 -0.12250545]",8000,[1.1678759  1.2209611  1.0218914  ... 0.56403095 0.58393794 0.7033798 ],8000,8000
0044,-4.0,8000,"[ 0.6147132   0.11513676  0.563975   ... -0.563975   -0.6791117
 -0.6947234 ]",8000,"[-1.0144869  -0.67402416 -0.36116654 ...  0.72693396  0.7476378
  0.69702846]",8000,8000
0045,4.0,8000,"[-0.01983192 -0.02128303 -0.01886451 ...  1.7418228   1.9802896
  2.0296273 ]",8000,"[-0.5338079  -0.5609507  -0.4131733  ...  0.26238015 -0.10253937
 -0.4342844 ]",8000,8000
0046,-2.0,8000,"[-0.00228186 -0.00273823 -0.01049655 ...  0.07895231  0.15881737
  0.08214691]",8000,"[ 0.46236306  0.52841496  0.52841496 ...  0.46236306 -0.09247261
  0.15852447]",8000,8000
0047,3.0,8000,[ 1.279672   1.6022182  1.1793243 ... -1.9023055 -1.8803245 -1.9142516],8000,"[ 0.24752618  0.05500583  0.20627184 ...  0.06875728  0.41254368
 -0.11001165]",8000,8000
0048,-1.0,8000,"[-0.251987   -0.9200062  -0.28581077 ...  0.9081679   0.76554435
  0.6567446 ]",8000,"[-0.14609775 -0.36776328 -0.4231797  ...  0.6700345  -0.04030282
 -0.08060565]",8000,8000
0049,4.0,8000,[-0.8165737 -1.0659037 -1.7103039 ... -4.1886015 -1.3502399  1.5681359],8000,"[ 0.8166372   0.82671916  0.7057359  ... -0.5998755  -0.4587283
  0.12602426]",8000,8000
0050,4.0,8000,"[ 0.22314507 -0.22263093 -0.03959026 ...  0.00771239  0.00565575
  0.00565575]",8000,[-0.8542874 -1.1842829 -1.0886767 ... -1.6068004 -2.112588  -1.9213756],8000,8000
0051,-1.0,8000,"[ 1.1098871   0.81658363  0.6746933  ... -0.33710858 -0.00523756
  0.15236546]",8000,[0.9172381 1.0295529 0.7862041 ... 1.0295529 0.8985189 0.9359572],8000,8000
0052,3.0,8000,"[-0.01147703 -0.01252039 -0.02260626 ...  0.00486904 -0.02643194
 -0.01912838]",8000,[1.5234401 1.4851627 1.2631539 ... 1.4621964 1.3550196 1.4928184],8000,8000
0053,3.0,8000,"[-0.04755833 -0.07799566 -0.08370265 ...  0.005707    0.12935865
  0.28915462]",8000,"[ 0.484144    0.21302338  0.17429185 ... -0.406681   -0.07746305
  0.11619458]",8000,8000
0054,0.0,8000,"[ 2.1350255   1.7569822  -0.48042995 ... -0.0210024  -0.02428403
 -0.02264321]",8000,"[-1.6468993  -1.4215342  -1.0748185  ... -0.69343126 -0.74543864
 -1.0574827 ]",8000,8000
0055,-4.0,8000,"[ 0.01442084  0.04206077  0.04446424 ... -0.00300434  0.00240347
  0.        ]",8000,"[-0.5002492  -0.914566   -0.85318565 ...  1.3166068   0.63221675
  0.49411112]",8000,8000
0056,0.0,8000,"[-1.3712298e-02 -8.3466172e-03 -1.1923738e-03 ... -2.3680544e+00
 -1.8285052e+00 -2.1856213e+00]",8000,"[ 0.10793402 -0.22357762 -0.36234993 ... -0.84805304 -0.40860736
  0.6244754 ]",8000,8000
0057,1.0,8000,[0.21451728 0.17308691 0.1519114  ... 0.37839743 0.25456667 0.29599702],8000,"[ 0.62980175  0.579128    0.52121526 ... -0.41986787 -0.32575953
 -0.40538964]",8000,8000
0058,1.0,8000,"[-0.00794027 -0.0392602   0.04896497 ... -0.00617576 -0.00397013
 -0.00749914]",8000,[0.49583164 0.3364572  0.26562408 ... 0.15937446 0.28333235 0.54895645],8000,8000
0059,0.0,8000,"[-0.00727556 -0.01039365 -0.00970074 ...  0.00727556  0.00970074
  0.00796846]",8000,"[-2.173905   -1.7485756  -1.6619345  ...  0.8979172   0.03938233
 -0.36231744]",8000,8000
0060,3.0,8000,[0.01676783 0.01844461 0.01509104 ... 2.8605914  2.7186236  1.9378017 ],8000,"[-0.8603501  -0.7488232  -0.6850935  ... -0.65322876 -0.350513
 -0.12745927]",8000,8000
0061,-2.0,8000,"[ 0.01942762  0.01780866  0.02023711 ... -1.7351297  -1.5554242
 -1.2704856 ]",8000,"[-0.5365772  -0.46658894 -0.41993004 ...  1.9130145   1.7497084
  1.6563907 ]",8000,8000
0062,0.0,8000,[0.34335402 0.4218181  0.29025805 ... 1.0896477  1.6182477  1.2990818 ],8000,"[ 0.6446405   0.5830919   0.41788253 ...  0.4340795   0.14901239
 -0.0842244 ]",8000,8000
0063,2.0,8000,"[-0.01568618 -0.01736684 -0.01456574 ...  0.00392155  0.00896353
 -0.00224088]",8000,"[-0.47459537 -0.04867645  0.2920587  ...  0.6936394   1.0587127
  0.8274997 ]",8000,8000
0064,-4.0,8000,"[-0.02142568 -0.02387433 -0.0275473  ...  0.00183649  0.00122432
  0.00122432]",8000,[1.7628074  1.7089812  1.5878723  ... 0.45752248 0.9957843  1.3321978 ],8000,8000
0065,2.0,8000,"[ 0.00983521  0.00860581  0.00573721 ... -0.0008196  -0.0012294
 -0.00819601]",8000,"[-0.1435082  -0.0604245  -0.07553063 ... -3.2553701  -3.1496272
 -3.3460066 ]",8000,8000
0066,-4.0,8000,"[ 4.3017231e-04 -2.1508615e-03  3.4413785e-03 ... -1.8200591e+00
 -1.3597746e+00 -9.1927820e-01]",8000,"[-0.60574985 -0.7147848  -0.87227976 ... -1.6718695  -1.7809045
 -1.4053396 ]",8000,8000
0067,-4.0,8000,"[-0.01634147 -0.0047443   0.00052714 ...  0.01897719  0.01265146
  0.02372149]",8000,[-0.4941548 -0.4941548 -0.6245147 ...  1.6249508  1.3339149  0.6730207],8000,8000
0068,1.0,8000,"[-3.6438081  -3.4621427  -3.2352417  ... -0.5218365  -0.66260934
 -0.57430965]",8000,"[-0.28590578 -0.1747202  -0.22237115 ...  1.1277394   1.0800885
  1.1436231 ]",8000,8000
0069,2.0,8000,"[-1.6838442  -1.4605721  -1.0122834  ...  0.14128941  0.3157208
  0.45410302]",8000,"[-0.20327751 -0.04234948 -0.09316886 ...  0.7453509   0.8893392
  0.6775917 ]",8000,8000
0070,0.0,8000,[0.72451425 1.0841078  1.271629   ... 0.6760357  0.63981    0.6131735 ],8000,"[-0.9889689  -0.76291883 -0.6498938  ...  0.9042001   0.9889689
  0.8759439 ]",8000,8000
0071,1.0,8000,"[-0.00526062 -0.00131515 -0.00131515 ... -0.00920608 -0.01052124
 -0.01052124]",8000,"[ 0.28842336  0.79316425  1.0527452  ... -1.8314884  -2.0333848
 -1.9612789 ]",8000,8000
0072,-4.0,8000,"[-0.013942    0.23638028  0.06400646 ...  0.31432873  0.20342647
 -0.37833518]",8000,"[ 0.19292992 -0.03674856  0.18374278 ...  0.6890354   0.74415827
  0.38585985]",8000,8000
0073,3.0,8000,"[ 0.0072017  -0.00084726  0.00296541 ... -0.23172526 -0.2351143
 -0.17156988]",8000,"[-0.05286922  0.15609008  0.31469774 ... -1.163123   -1.2462031
 -1.0624195 ]",8000,8000
0074,2.0,8000,"[ 0.00705065 -0.02741919 -0.07442353 ... -0.03682006 -0.12142786
 -0.15668112]",8000,[-0.6685218 -0.6434523 -0.6852349 ...  0.6350958  1.136487   1.5376003],8000,8000
0075,-4.0,8000,"[-0.20440009  0.12602371  0.8117308  ...  0.01104865  0.00621487
  0.00725068]",8000,"[-1.6665792  -1.8238038  -1.902416   ... -0.62889785 -0.73895496
 -0.9119019 ]",8000,8000
0076,3.0,8000,[0.3879567  0.771407   0.92339426 ... 0.54526967 0.42154956 0.29455212],8000,"[ 0.1388426   0.10922284  0.10922284 ... -0.6831056  -0.7367913
 -0.77196485]",8000,8000
0077,-2.0,8000,[-3.794365  -3.4576616 -2.878786  ... -0.9058333 -1.1894239 -1.3765353],8000,"[-0.8056616  -0.92773163 -1.0823536  ... -1.3346314  -1.7089794
 -1.3183554 ]",8000,8000
0078,0.0,8000,"[-0.49050623 -0.06010156  0.4648177  ... -2.5916374  -2.7336516
 -2.635744  ]",8000,"[-1.0674943  -1.2742424  -1.533732   ... -0.98521715 -1.4725516
 -1.379726  ]",8000,8000
0079,0.0,8000,"[ 0.36936083  0.4552257   0.41761547 ... -1.1918185  -0.78413785
 -0.18024525]",8000,"[ 0.03828802  0.11486405  0.0701947  ...  0.44031218  0.10210138
 -0.5424136 ]",8000,8000
0080,0.0,8000,[0.33416724 0.4104178  0.39917344 ... 0.08292688 0.04989668 0.04813976],8000,"[-0.9462308  -0.9321079  -1.054506   ... -0.6308205  -0.3813169
 -0.75321853]",8000,8000
0081,4.0,8000,[0.01268162 0.00860539 0.01811661 ... 0.00860539 0.00362332 0.00407624],8000,"[-1.1164544  -0.79362416 -0.4438915  ...  0.60530657  0.48424527
 -0.04035377]",8000,8000
0082,-4.0,8000,"[ 0.08568113  0.02552948 -0.47421885 ... -0.09477383 -0.07134266
 -0.04966008]",8000,"[ 0.853628    0.632934    0.06246059 ... -1.7405684  -2.3346379
 -2.8426507 ]",8000,8000
0083,0.0,8000,"[-0.01214595 -0.01656266 -0.02097937 ... -1.8384553  -1.8958725
 -2.703026  ]",8000,[-0.6442266 -0.5475926 -0.8858115 ... -1.3206644 -0.9180228 -0.8052832],8000,8000
0084,2.0,8000,"[-1.7152234  -1.4461006  -1.31527    ...  0.99540675  0.46412516
 -0.30742693]",8000,"[-1.5756314  -1.3276154  -0.7732265  ... -0.4960321  -0.58356714
 -0.6127455 ]",8000,8000
0085,0.0,8000,[0.04860409 0.02495885 0.0111658  ... 0.00853856 0.00853856 0.00985218],8000,"[-0.657251   -0.6220411  -0.6009152  ... -0.48589626 -0.37791935
 -0.375572  ]",8000,8000
0086,-1.0,8000,[0.1302594  0.09915267 0.05521443 ... 0.00272184 0.00699901 0.06376878],8000,"[-1.6037024  -1.438836   -1.4088602  ... -0.37469688 -0.34472108
 -0.37469688]",8000,8000
0087,4.0,8000,"[-1.8637422e+00 -2.2322762e+00 -2.3577745e+00 ...  4.5891143e-02
 -1.8731079e-03 -6.6963606e-02]",8000,"[ 0.11471059  0.27989385  0.35330862 ... -2.055614   -2.0418487
 -1.7803084 ]",8000,8000
0088,0.0,8000,"[ 2.0598497   1.1591722   0.12474386 ... -0.07520659 -0.0603454
  0.08016032]",8000,[-0.9294687 -1.0253059 -0.5750232 ... -1.9380411 -1.9486897 -1.6474869],8000,8000
0089,3.0,8000,[0.01525027 0.01423358 0.02185872 ... 0.00406674 0.00508342 0.00610011],8000,[1.06511   1.0296062 0.9763508 ... 1.2248764 1.464526  1.3935187],8000,8000
0090,-2.0,8000,"[ 0.          0.00053058 -0.0042446  ...  0.19737409  0.01273381
  0.14219424]",8000,[0.8552538  0.6249932  0.41117975 ... 0.29604942 0.49341565 0.69078195],8000,8000
0091,4.0,8000,"[-0.02323454 -0.02100657 -0.02259798 ...  0.25780794  0.38193768
  0.40103456]",8000,[1.4823124 1.361581  1.1268257 ... 1.0128016 0.9591432 0.9591432],8000,8000
0092,1.0,8000,[-2.2055635 -2.1016572 -1.9120507 ... -1.4662313 -2.098549  -2.1260798],8000,"[-0.9865152  -1.1238781  -1.423579   ...  0.33716342  0.32467592
  0.12487536]",8000,8000
0093,2.0,8000,"[-0.7049792  -0.9080539  -0.9006525  ...  0.43575484  0.38348275
  0.35387737]",8000,"[ 0.11488925  0.22203317  1.0365851  ... -0.6531906  -0.18072467
 -0.06325363]",8000,8000
0094,3.0,8000,"[-1.4318421  -0.94369453 -0.00428952 ... -0.05404796 -0.05919538
 -0.05576377]",8000,"[ 0.11796971  0.04718789 -0.2123455  ... -1.5100124  -0.9673517
 -0.3775031 ]",8000,8000
0095,-2.0,8000,"[ 0.01072912  0.01564664  0.01609368 ...  0.1412668   0.04157535
 -0.02637576]",8000,"[ 0.9382258   0.76934516  0.5379161  ... -3.1993504  -3.4088871
 -3.3807402 ]",8000,8000
0096,3.0,8000,[0.01268162 0.00860539 0.01811661 ... 0.00860539 0.00362332 0.00407624],8000,"[ 1.8043205   1.826596    1.8934227  ... -0.57916456 -0.6459913
 -0.556889  ]",8000,8000
0097,4.0,8000,"[-0.02637207 -0.0300096  -0.02318924 ... -0.13458851  0.02046109
  0.8489079 ]",8000,"[-0.25891376  0.         -0.34521836 ... -0.66166854 -0.48905936
 -0.35960248]",8000,8000
0098,2.0,8000,"[-0.17377576  0.2899917  -0.28560624 ...  0.0142529   0.02247573
  0.01809022]",8000,"[ 0.04567569 -0.05220079  0.37845573 ... -0.5415832  -0.44370672
 -0.48285735]",8000,8000
0099,0.0,8000,"[-0.1863704  -0.20530872 -0.20487832 ...  0.01334292  0.0025825
  0.01420375]",8000,"[ 1.0764973   0.9521494   1.3322986  ... -1.0729444  -0.7922736
 -0.75319284]",8000,8000
0100,3.0,8000,[-0.9277147 -1.6114796 -2.1765783 ...  1.008443   1.0018259  1.0860835],8000,"[ 0.761728    0.7203297   0.60027474 ... -0.24838954 -0.2566692
 -0.31876656]",8000,8000
0101,-3.0,8000,"[ 2.1283064   2.5676048   2.4171815  ... -0.01509437 -0.0239428
 -0.02550428]",8000,"[ 0.5411769   0.09411773  0.42352974 ... -0.32941204 -0.8470595
 -0.82353   ]",8000,8000
0102,-4.0,8000,"[-0.01084815 -0.00799338  0.         ...  0.01199006  0.00913529
  0.00970624]",8000,"[-0.8887861  -0.80546236 -0.48605493 ... -0.24997109 -0.04166185
 -0.27774566]",8000,8000
0103,2.0,8000,"[ 0.01543304  0.00905852  0.00872302 ... -0.001342   -0.00402601
  0.        ]",8000,"[-0.28064063 -0.16838439  0.31805938 ...  0.13096562  0.09354687
  0.11225624]",8000,8000
0104,-2.0,8000,"[ 0.01989338  0.02162324  0.02032584 ... -0.21882716  1.4933008
  2.1804872 ]",8000,"[-0.26868853 -0.21111241 -0.05757611 ...  0.00383841  0.03838408
 -0.11899063]",8000,8000
0105,-4.0,8000,"[-0.01414277 -0.01414277 -0.01697132 ...  0.00707138  0.00754281
 -0.00094285]",8000,"[-0.46856356  0.1679756  -0.14734703 ... -0.06188575 -0.11493067
  0.34479207]",8000,8000
0106,0.0,8000,"[-0.22566867  0.15789105  0.18561827 ... -0.0061616  -0.0092424
 -0.0023106 ]",8000,"[ 0.35335085  0.0075181  -0.40973663 ... -0.08645818 -0.06014482
  0.1390849 ]",8000,8000
0107,1.0,8000,"[ 0.09617852 -0.02018562 -0.14486147 ... -0.0225604  -0.14129929
  0.021373  ]",8000,"[-0.32905298 -0.5833212  -0.800197   ... -0.14209105  0.48610097
  0.9273311 ]",8000,8000
0108,4.0,8000,"[-0.01631807 -0.0242679  -0.01673648 ...  0.0694564   0.08577447
  0.05941451]",8000,[1.6882018  1.2923476  0.31823573 ... 0.38421142 0.4657108  0.2794265 ],8000,8000
0109,0.0,8000,"[ 0.00886088  0.01708885  0.01265841 ... -0.03227893  0.27595326
  0.29620665]",8000,"[ 0.77426165  0.75519115  0.7666335  ...  0.00762819 -0.79333216
 -0.4882044 ]",8000,8000
0110,-3.0,8000,"[ 0.6065108   0.9654997   1.1201327  ... -0.00218562  0.00382484
  0.00273203]",8000,[0.7580261 0.8205438 0.6798792 ... 0.945579  0.8361732 0.3829204],8000,8000
0111,0.0,8000,"[ 0.09990678  0.13320903  0.23084521 ... -3.1319263  -2.210816
 -0.80152494]",8000,"[ 1.6474862   1.0546192   0.52445924 ... -0.8664979  -0.76388633
 -0.30213416]",8000,8000
0112,-2.0,8000,"[ 0.18526807  0.2169198   0.31398508 ... -1.2230226  -1.2462338
 -1.1677375 ]",8000,[0.18287355 0.18702975 0.44471517 ... 0.86864936 1.4920818  1.6957365 ],8000,8000
0113,4.0,8000,"[-0.70101506 -0.44673815 -0.2095592  ... -0.07803669 -0.1411675
 -0.14905885]",8000,[-1.7506486 -1.9731067 -2.4760554 ...  0.7254069  1.7216322  0.6770464],8000,8000
0114,-3.0,8000,"[ 0.04887225  0.04530865  0.04836316 ... -0.02952698 -0.02596338
 -0.03105424]",8000,"[-1.1066998  -1.1399008  -1.3169727  ... -0.5496609  -0.56441694
 -0.5017039 ]",8000,8000
0115,2.0,8000,[ 3.2167385  2.8056483  2.237695  ... -1.1042845 -1.6597556 -2.1345062],8000,"[ 3.022283    3.010599    3.0417566  ... -0.92304265 -1.0009365
 -0.9970419 ]",8000,8000
0116,-1.0,8000,"[ 0.02140106  0.04426127  0.01896912 ... -0.01021414 -0.01313247
 -0.02188744]",8000,[0.3312547  0.4766836  0.3958898  ... 0.92104965 0.97760534 0.9533672 ],8000,8000
0117,-2.0,8000,"[-1.6165115  -1.4255848  -1.230946   ...  0.01272844  0.01272844
  0.0164409 ]",8000,"[-0.28999683  0.3357858   0.42736372 ... -0.6257826  -0.36631176
 -0.04578897]",8000,8000
0118,3.0,8000,[0.10484555 0.08856816 0.1330916  ... 2.261121   1.5420433  1.0163795 ],8000,"[-0.01825392  0.09126958  0.34682435 ... -0.98571134 -0.71798736
 -1.2656047 ]",8000,8000
0119,1.0,8000,"[-0.06043319  0.781099    0.47742218 ... -4.3572326  -3.4643326
 -1.809974  ]",8000,[0.5857371  0.50001943 0.22858033 ... 1.2143329  1.4857721  1.4714857 ],8000,8000
0120,-1.0,8000,"[ 0.01942762  0.01780866  0.02023711 ... -1.7351297  -1.5554242
 -1.2704856 ]",8000,"[ 0.6880743   0.10820524 -0.56599665 ... -0.46611488 -0.34126267
 -0.9433277 ]",8000,8000
0121,1.0,8000,"[ 0.07010189  0.06526727  0.05608151 ...  0.00145038 -0.00145038
  0.00145038]",8000,[0.15985112 0.7026789  1.2421764  ... 0.65938586 0.6627161  0.8658603 ],8000,8000
0122,0.0,8000,"[-0.13454786 -0.1945692  -0.1970701  ...  0.35862756  0.3061089
  0.2355838 ]",8000,"[-0.78904724 -0.8818763  -1.0164784  ...  0.          0.21350689
  0.10675345]",8000,8000
0123,0.0,8000,"[ 0.0527781  -0.02966612 -0.14971045 ... -0.00172477 -0.00241468
 -0.00551928]",8000,[2.0135376 1.9491781 1.8131034 ... 1.443495  1.4968215 1.5703756],8000,8000
